gene_id,fpkm_Sample1,fpkm_Sample2
YDL019C,41.7,31.0
YDL020C,598.3,136.4
YDL021W,237.2,46.1
YDL022W,337.7,194.0
YDL023C,381.9,209.7
YDL024C,15.4,10.0
YDL025C,89.4,32.4
YDL026W,77.9,37.3
YDL027C,73.8,26.2
YDL028C,24.9,11.3
YDL029W,334.3,152.9
YDL030W,14.6,4.5
YDL031W,28.7,20.8
YDL032W,13.1,7.8
YDL033C,15.5,7.7
YDL034W,21.1,16.1
YDL035C,44.8,21.6
YDL036C,35.9,16.2
YDL037C,32.6,9.7
YDL039C,54.7,10.5
YDL040C,55.8,42.2
YDL043C,21.5,8.6
YDL044C,23.3,7.3
YDL045C,69.2,17.6
YDL045W-A,244.8,50.0
YDL046W,528.2,148.2
YDL047W,70.5,17.6
YDL048C,21.3,6.1
YDL049C,11.9,6.3
YDL050C,45.2,24.6
YDL051W,108.3,73.2
YDL052C,125.4,37.8
YDL053C,168.6,69.4
YDL054C,25.1,11.9
YDL055C,285.2,243.0
YDL056W,32.0,10.6
YDL057W,24.7,8.4
YDL058W,13.3,31.6
YDL059C,14.2,4.0
YDL060W,20.7,17.3
YDL061C,296.5,136.5
YDL062W,17.3,15.0
YDL063C,17.9,10.3
YDL064W,70.4,23.0
YDL065C,89.2,39.0
YDL066W,176.8,469.2
YDL067C,491.6,196.8
YDL069C,20.9,4.8
YDL070W,47.2,16.5
YDL072C,555.2,140.7
YDL073W,28.4,11.5
YDL074C,41.3,17.4
YDL075W,2068.7,1755.7
YDL076C,30.1,7.1
YDL077C,16.2,11.2
YDL078C,102.0,53.0
YDL079C,15.2,5.2
YDL080C,21.3,6.9
YDL081C,1664.5,672.4
YDL082W,418.2,270.2
YDL083C,773.6,553.5
YDL084W,381.8,329.4
YDL085C-A,187.4,83.7
YDL085W,22.8,9.1
YDL086C-A,47.1,5.5
YDL086W,393.2,115.6
YDL087C,27.5,12.4
YDL088C,65.1,18.4
YDL089W,45.4,12.7
YDL090C,22.6,9.7
YDL091C,49.9,12.7
YDL092W,177.4,44.9
YDL093W,30.2,17.0
YDL094C,18.9,14.2
YDL095W,85.5,99.1
YDL096C,67.0,144.3
YDL097C,277.2,77.6
YDL098C,17.2,5.8
YDL099W,162.0,26.4
YDL100C,464.7,287.7
YDL101C,28.5,13.4
YDL102W,8.1,17.4
YDL103C,46.1,43.1
YDL106C,66.5,27.1
YDL107W,31.7,11.9
YDL108W,48.2,17.0
YDL109C,25.7,7.5
YDL110C,380.8,70.3
YDL111C,45.0,20.2
YDL112W,16.7,18.6
YDL113C,64.4,27.9
YDL115C,102.0,20.9
YDL116W,34.9,21.4
YDL117W,19.3,11.7
YDL118W,28.2,8.4
YDL119C,30.0,5.7
YDL120W,177.4,45.2
YDL121C,86.6,48.0
YDL122W,54.2,26.3
YDL123W,70.3,20.2
YDL124W,648.2,280.7
YDL125C,265.4,97.4
YDL126C,517.1,592.3
YDL127W,16.2,5.8
YDL128W,87.4,48.3
YDL130W,582.9,280.6
YDL130W-A,1333.1,250.9
YDL131W,84.1,60.1
YDL132W,179.9,93.6
YDL133W,35.8,11.7
YDL134C,136.5,39.7
YDL135C,125.3,42.6
YDL136W,70.5,48.6
YDL137W,400.9,140.6
YDL138W,45.8,16.8
YDL139C,30.3,7.6
YDL140C,83.8,194.0
YDL141W,19.0,13.1
YDL142C,54.9,13.6
YDL143W,164.6,69.4
YDL144C,34.5,16.5
YDL145C,112.1,237.9
YDL146W,55.6,12.6
YDL147W,471.3,158.4
YDL148C,20.2,18.3
YDL149W,21.9,10.4
YDL150W,26.0,11.9
YDL152W,21.3,12.4
YDL153C,40.1,16.8
YDL154W,24.5,8.0
YDL155W,17.0,8.9
YDL157C,139.2,98.8
YDL158C,22.2,16.7
YDL159C-B,9.9,12.8
YDL159W,22.8,8.9
YDL159W-A,63.8,0.0
YDL160C,44.8,115.9
YDL160C-A,85.6,42.1
YDL161W,75.4,22.4
YDL164C,12.5,14.0
YDL165W,65.1,23.0
YDL166C,44.5,14.0
YDL167C,19.6,9.1
YDL168W,258.0,109.3
YDL169C,49.8,11.4
YDL170W,30.8,11.7
YDL171C,58.9,261.5
YDL172C,45.0,17.1
YDL173W,211.2,75.5
YDL174C,149.3,85.0
YDL175C,76.2,16.6
YDL176W,11.5,4.6
YDL177C,51.0,10.1
YDL178W,87.1,45.5
YDL179W,31.0,8.7
YDL180W,72.1,19.2
YDL181W,79.5,29.5
YDL182W,79.3,41.1
YDL183C,30.8,7.1
YDL185C-A,214.7,632.3
YDL185W,532.7,852.5
YDL186W,13.6,3.1
YDL188C,59.9,33.6
YDL189W,34.1,10.6
YDL190C,59.6,53.3
YDL191W,83.3,80.9
YDL192W,780.1,576.4
YDL193W,171.7,42.8
YDL194W,43.2,9.5
YDL195W,126.2,85.4
YDL197C,20.4,6.5
YDL198C,62.5,18.6
YDL199C,19.5,7.8
YDL200C,37.3,13.1
YDL201W,47.1,19.9
YDL202W,62.4,20.7
YDL203C,12.7,5.7
YDL204W,116.2,35.9
YDL205C,32.5,14.7
YDL206W,33.2,11.4
YDL207W,25.4,9.3
YDL208W,176.9,66.5
YDL212W,209.8,103.6
YDL213C,134.6,43.7
YDL215C,95.0,102.4
YDL216C,16.9,7.5
YDL217C,29.6,15.4
YDL218W,14.3,6.0
YDL219W,57.4,32.2
YDL220C,12.6,5.7
YDL221W,12.2,4.3
YDL222C,85.8,31.5
YDL223C,128.2,71.4
YDL224C,56.9,19.6
YDL225W,50.4,22.4
YDL226C,73.9,34.7
YDL227C,17.2,12.3
YDL228C,288.1,536.2
YDL229W,202.2,509.8
YDL230W,34.3,6.9
YDL231C,24.0,10.6
YDL232W,699.9,676.2
YDL233W,24.5,8.0
YDL234C,79.5,31.1
YDL235C,159.6,38.2
YDL236W,78.2,39.1
YDL237W,106.6,71.0
YDL238C,19.6,17.3
YDL239C,26.8,15.4
YDL240C-A,41.3,47.8
YDL240W,13.2,8.1
YDL241W,66.4,28.4
YDL242W,13.5,4.7
YDL243C,23.0,4.7
YDL248W,10.2,8.4
YDR001C,404.6,207.0
YDR002W,1056.2,556.6
YDR003W,69.1,19.8
YDR003W-A,112.0,0.0
YDR004W,46.1,9.0
YDR005C,43.5,14.7
YDR006C,43.4,14.2
YDR007W,142.6,56.2
YDR008C,62.5,46.4
YDR011W,163.4,131.1
YDR012W,101.3,57.2
YDR013W,47.3,12.6
YDR016C,115.3,27.7
YDR017C,18.6,12.6
YDR019C,340.7,125.7
YDR020C,19.7,4.4
YDR021W,12.5,5.3
YDR022C,31.3,12.6
YDR023W,201.3,262.5
YDR025W,714.7,508.4
YDR026C,32.2,10.8
YDR027C,41.5,20.4
YDR028C,105.7,82.4
YDR029W,110.9,151.0
YDR030C,26.3,6.4
YDR031W,146.3,45.9
YDR032C,803.1,288.3
YDR033W,570.4,590.8
YDR034C,29.6,14.5
YDR034C-A,10.2,20.3
YDR034C-D,14.2,31.6
YDR034W-B,59.9,29.6
YDR035W,198.8,264.7
YDR036C,26.7,12.9
YDR037W,455.8,506.4
YDR041W,112.7,29.0
YDR042C,47.3,15.8
YDR043C,160.0,33.5
YDR044W,26.3,12.4
YDR045C,63.6,20.4
YDR046C,55.3,19.4
YDR047W,63.2,20.1
YDR049W,13.0,5.6
YDR050C,5058.7,3940.6
YDR051C,83.8,25.1
YDR052C,24.1,9.2
YDR054C,126.0,41.6
YDR055W,156.5,70.6
YDR056C,131.7,51.5
YDR057W,27.5,11.8
YDR058C,48.3,13.5
YDR059C,63.9,15.8
YDR060W,23.8,36.9
YDR061W,37.7,15.1
YDR062W,55.7,46.3
YDR063W,183.7,50.3
YDR064W,1676.2,1245.1
YDR065W,26.2,7.4
YDR066C,31.3,8.4
YDR067C,92.2,22.7
YDR068W,138.5,17.7
YDR069C,29.1,14.6
YDR070C,107.6,19.8
YDR071C,407.9,106.3
YDR072C,49.1,22.6
YDR073W,50.9,15.6
YDR074W,189.8,137.7
YDR075W,15.3,5.9
YDR076W,33.7,7.8
YDR077W,8121.5,1540.9
YDR078C,93.2,18.8
YDR079C-A,152.3,49.7
YDR079W,140.7,48.6
YDR080W,33.0,19.1
YDR081C,23.4,19.9
YDR082W,24.6,7.8
YDR083W,24.8,10.1
YDR084C,54.0,19.6
YDR085C,32.7,11.4
YDR086C,279.8,143.2
YDR087C,64.5,26.2
YDR088C,25.2,7.6
YDR089W,45.4,19.6
YDR090C,32.6,10.4
YDR091C,43.8,36.3
YDR092W,183.4,44.7
YDR093W,19.0,18.8
YDR094W,17.1,18.5
YDR096W,22.7,10.9
YDR097C,12.2,14.0
YDR098C,211.5,96.4
YDR099W,336.0,230.5
YDR100W,105.7,29.7
YDR101C,30.2,28.8
YDR103W,41.4,19.5
YDR105C,49.8,18.6
YDR106W,12.1,3.8
YDR108W,11.4,5.7
YDR109C,28.0,10.5
YDR110W,22.9,10.2
YDR111C,23.1,11.1
YDR112W,18.0,11.2
YDR113C,17.8,4.6
YDR115W,236.7,53.6
YDR116C,65.6,20.2
YDR117C,28.7,12.9
YDR118W,18.3,6.8
YDR118W-A,273.0,0.0
YDR119W,32.0,25.4
YDR119W-A,251.6,57.9
YDR120C,15.4,10.4
YDR121W,42.9,17.7
YDR122W,75.8,50.6
YDR123C,15.8,6.1
YDR124W,30.6,9.1
YDR125C,19.9,7.9
